slug,nombre,etiqueta_li,rating
amboise,"Laura Méndez","🔭 Las vistas desde las terrazas son absolutamente impresionantes. Se domina todo el valle del Loira.",5
amboise,"Jorge Castillo","⛪ La capilla de Saint-Hubert es pequeña pero emocionante. Ver la tumba de Leonardo da Vinci fue muy especial.",5
amboise,"Eva Morales","🚶‍♂️ El paseo hasta el castillo por el casco histórico es precioso. Calles con encanto y ambiente auténtico.",4
amboise,"Pablo Serrano","📸 Al atardecer el castillo se ilumina y se refleja en el río. Una de las mejores fotos del viaje.",5
azay-le-rideau,"Claudia Nieto","🌅 Ver el castillo reflejado en el agua a primera hora es mágico. Parece un espejo perfecto.",5
azay-le-rideau,"Raúl Domínguez","🚶‍♂️ Dar la vuelta al estanque permite descubrir mil ángulos diferentes. Súper fotogénico.",4
azay-le-rideau,"Silvia Castro","🎧 La audioguía cuenta historias curiosas del Renacimiento y de sus antiguos propietarios. Muy recomendable.",5
azay-le-rideau,"Tomás García","🍃 El parque es precioso para descansar después de la visita. Muy tranquilo y agradable.",4
beaugency,"Isabel Romero","🏰 Un castillo menos conocido pero lleno de historia. La visita fue muy tranquila, sin aglomeraciones.",5
beaugency,"Sergio Navarro","🔦 La experiencia inmersiva con luces y proyecciones en las salas es sorprendente. No me lo esperaba.",5
beaugency,"Cristina Varela","📚 Me encantó cómo explican la historia del castillo y la ciudad. Muy bien documentado.",4
beaugency,"Daniel Pérez","🌉 Las vistas desde la torre hacia el puente medieval y el Loira valen totalmente la subida.",5
beauregard,"Laura Sánchez","🖼️ La Galería de los Retratos es impresionante, nunca había visto tantas figuras históricas reunidas en un mismo lugar.",5
beauregard,"Miguel Herrera","🌳 Los jardines del 'jardín de los retratos' son preciosos y muy originales. Ideal para pasear con calma.",4
beauregard,"Paula Molina","📸 Un castillo menos turístico, lo cual permite disfrutar las salas con tranquilidad y sacar fotos sin prisas.",5
beauregard,"Ricardo Torres","🔍 Me encantó descubrir la historia detrás de cada personaje retratado. Es como caminar dentro de un libro de historia.",5
blois,"Andrea Pérez","🏰 Fascinante ver cómo en un mismo castillo conviven estilos gótico, renacentista y clásico. Es como recorrer tres castillos en uno.",5
blois,"Sergio Navarro","👑 La sala de los Estados Generales y las anécdotas históricas de reyes y conspiraciones hacen la visita súper interesante.",4
blois,"Natalia Torres","✨ El espectáculo nocturno de luces y sonido es mágico. Vale totalmente la pena quedarse hasta la noche.",5
blois,"Diego Campos","📸 Desde el patio interior puedes ver de cerca la famosa escalera renacentista. Muy fotogénica.",5
chambord,"Carlos Méndez","🏰 El castillo es impresionante, especialmente la escalera de doble hélice. Nunca había visto algo igual.",5
chambord,"Laura Sánchez","🌳 El parque es enorme, alquilar una bici fue lo mejor del día. Se siente como un paseo real por la naturaleza.",4
chambord,"Andrés Molina","📸 Las vistas desde la terraza son espectaculares. Vale totalmente la pena subir hasta arriba.",5
chambord,"Patricia Herrera","⏰ Mucha gente al mediodía, recomendaría ir temprano para disfrutarlo con más calma.",4
chaumont,"Lucía Herrera","🌿 Si visitas entre abril y octubre, no te pierdas el Festival Internacional de Jardines; cada jardín es una instalación artística.",5
chaumont,"Mario Escudero","🌅 Quédate hasta el atardecer: las vistas del río Loira desde la terraza son espectaculares.",5
chaumont,"Beatriz Alonso","🎟️ Compra la entrada combinada castillo + jardines, merece la pena para disfrutar del dominio completo.",4
chaumont,"Alberto Reyes","📸 Lleva batería extra: hay arte contemporáneo repartido por los jardines y el interior del castillo.",5
chenonceau,"Sara Domínguez","🌉 Cruza la galería sobre el río Cher: caminar en un castillo puente es una experiencia única.",5
chenonceau,"Hugo Ramírez","🌺 Recorre los jardines de Diana de Poitiers y Catalina de Médici; compáralos, cada uno tiene un estilo diferente.",5
chenonceau,"Valeria Campos","🚤 Si el clima lo permite, toma un paseo en barca por el río Cher para obtener la vista perfecta del castillo.",4
chenonceau,"Rafael Cortés","📷 Llega temprano o al atardecer para evitar grupos turísticos y conseguir las mejores fotos reflejadas en el agua.",5
cheverny,"Sofía Morales","🐶 El circuito de los perros de caza es único, nunca había visto algo así en un castillo. Súper interesante.",5
cheverny,"Jorge Vidal","🖼️ El interior está espectacularmente amueblado, parece que la familia acabe de salir de una habitación.",5
cheverny,"Elena Prieto","🚤 La visita al museo de Tintín fue una sorpresa total, muy interactivo y bien hecho.",4
cheverny,"Raúl Sánchez","🌳 Los jardines son perfectos para pasear con calma y relajarse después del castillo.",5
chinon,"Marta Varela","🏰 Impresiona caminar por las murallas y ver cómo domina todo el valle del Vienne. La historia de Juana de Arco cobra vida.",5
chinon,"Hugo Salinas","🔭 Las vistas desde las torres son increíbles, puedes ver el río y el pueblo medieval. Subida 100% recomendable.",4
chinon,"Patricia León","🎧 La audioguía está muy bien narrada, mezcla historia con pequeñas anécdotas. Se hace súper entretenida.",5
chinon,"Álvaro Ruiz","📸 Fortificación enorme y fotogénica. Ideal para combinar con un paseo por el casco antiguo de Chinon.",5
clos-luce,"Sofía Herrera","🖼️ Ver las maquetas y máquinas diseñadas por Leonardo da Vinci es fascinante. Todo está muy bien explicado.",5
clos-luce,"Daniel Muñoz","🌳 El parque exterior con las reproducciones a escala real permite interactuar con los inventos de Leonardo.",4
clos-luce,"Carla Domínguez","🏠 La casa tiene un ambiente íntimo y cálido; se siente realmente como el lugar donde Leonardo vivió sus últimos años.",5
clos-luce,"Iván Torres","📸 Ideal para familias y curiosos. Muchas áreas interactivas y paneles que hacen la visita muy entretenida.",5
langeais,"Marina Gutiérrez","🏰 Uno de los castillos más auténticos del Loira: conserva su estructura medieval y mobiliario original.",5
langeais,"Rubén Salas","🕰️ La recreación del matrimonio de Ana de Bretaña y Carlos VIII es muy interesante y está muy bien ambientada.",4
langeais,"Elisa Romero","🌉 Las vistas desde el puente levadizo son impresionantes, realmente te transporta a la Edad Media.",5
langeais,"Tomás Aguilar","🌿 El jardín del parque con el mirador hacia el Loira es perfecto para descansar después de la visita.",5
saumur,"Claudia Méndez","🏰 El castillo en lo alto de la colina ofrece una vista espectacular del Loira y de toda la ciudad.",5
saumur,"Álvaro Ruiz","🐎 El museo del caballo es sorprendentemente interesante y está muy bien presentado.",4
saumur,"Nuria Delgado","📸 Ideal para fotos, especialmente desde el mirador exterior. El castillo es precioso desde cualquier ángulo.",5
saumur,"Gabriel Torres","🌙 Si puedes, visítalo al anochecer: la iluminación del castillo es mágica.",5
usse,"Marina López","🏰 Parece salido de un cuento. Se entiende por qué inspiró 'La Bella Durmiente'. Es simplemente mágico.",5
usse,"Jorge Castillo","🧵 La exposición con escenas de la Bella Durmiente dentro del castillo es muy original y divertida.",4
usse,"Patricia Núñez","🌳 Los jardines y la vista hacia el Loira hacen que valga la pena quedarse un buen rato paseando.",5
usse,"David Romero","📸 Muy fotogénico desde todos los ángulos. Las torres y el entorno son de película.",5
villandry,"Ana Gómez","✨ Belleza arquitectónica y ambiente tranquilo; imprescindible en el centro histórico.",5
villandry,"Luis Fernández","🎶 Me encantaron las vidrieras y el órgano histórico.",4
villandry,"María López","😍 El castillo sobre el río es impresionante. El reflejo en el agua parece un cuadro.",5
villandry,"Javier Martín","🌿 Pasear por los jardines es mágico. Se nota la influencia de Catalina de Médici y Diana de Poitiers.",5
villandry,"Elena Ruiz","📸 De los castillos más fotogénicos del valle. Cada sala cuenta una historia. ¡Volvería sin dudarlo!",5
